CAMPUS,C29AD15R,C29ADC15R,C29ADE15R,C29ADM15R,C29ADS15R,C39AD15R,C39ADC15R,C39ADE15R,C39ADM15R,C39ADS15R,C49AD15R,C49ADC15R,C49ADE15R,C49ADM15R,C49ADS15R,CA9AD15R,CA9ADC15R,CA9ADE15R,CA9ADM15R,CA9ADS15R,CB9AD15R,CB9ADC15R,CB9ADE15R,CB9ADM15R,CB9ADS15R,CE9AD15R,CE9ADC15R,CE9ADE15R,CE9ADM15R,CE9ADS15R,CF9AD15R,CF9ADC15R,CF9ADE15R,CF9ADM15R,CF9ADS15R,CH9AD15R,CH9ADC15R,CH9ADE15R,CH9ADM15R,CH9ADS15R,CI9AD15R,CI9ADC15R,CI9ADE15R,CI9ADM15R,CI9ADS15R,CL9AD15R,CL9ADC15R,CL9ADE15R,CL9ADM15R,CL9ADS15R,CM9AD15R,CM9ADC15R,CM9ADE15R,CM9ADM15R,CM9ADS15R,CR9AD15R,CR9ADC15R,CR9ADE15R,CR9ADM15R,CR9ADS15R,CS9AD15R,CS9ADC15R,CS9ADE15R,CS9ADM15R,CS9ADS15R,CW9AD15R,CW9ADC15R,CW9ADE15R,CW9ADM15R,CW9ADS15R
"028902104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028902105",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028903001",20,-1,0,-1,-1,.,.,.,.,.,.,.,.,.,.,19.3,0,0,17.6,1.8,31,0,0,26.9,0,12.5,0,0,9.6,0,22.2,0,0,20.6,3.4,12.9,0,0,10.6,0,-1,.,-1,-1,-1,0,0,0,0,0,16.7,0,0,15.1,0.6,5.2,0,0,5.2,0,4.9,0,0,2.8,0,26.3,0,0,27,5.2
"028903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028903104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"028906001",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44.7,0,37.1,13.2,0,-1,-1,-1,-1,-1,50,0,44,11.5,0,40,0,29.2,12,0,57.1,0,50,14.3,0,.,.,.,.,.,.,.,.,.,.,53.8,0,54.5,15.4,0,43.8,0,28.6,18.8,0,-1,-1,-1,-1,-1,34.8,0,25,13,0
"046802001",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046802004",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"046802007",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
